time,crude_petro_usd_bbl
1959M05,1.63000011444
1959M06,1.63000011444
1959M07,1.63000011444
1959M08,1.63000011444
1959M09,1.63000011444
1959M10,1.63000011444
1959M11,1.63000011444
1959M12,1.63000011444
1960M01,1.63000011444
1960M02,1.63000011444
1960M03,1.63000011444
1960M04,1.63000011444
1960M05,1.63000011444
1960M06,1.63000011444
1960M07,1.63000011444
1960M08,1.63000011444
1960M09,1.63000011444
1960M10,1.63000011444
1960M11,1.63000011444
1960M12,1.63000011444
1961M01,1.57
1961M02,1.57
1961M03,1.57
1961M04,1.57
1961M05,1.57
1961M06,1.57
1961M07,1.57
1961M08,1.57
1961M09,1.57
1961M10,1.57
1961M11,1.57
1961M12,1.57
1962M01,1.52
1962M02,1.52
1962M03,1.52
1962M04,1.52
1962M05,1.52
1962M06,1.52
1962M07,1.52
1962M08,1.52
1962M09,1.52
1962M10,1.52
1962M11,1.52
1962M12,1.52
1963M01,1.5
1963M02,1.5
1963M03,1.5
1963M04,1.5
1963M05,1.5
1963M06,1.5
1963M07,1.5
1963M08,1.5
1963M09,1.5
1963M10,1.5
1963M11,1.5
1963M12,1.5
1964M01,1.45
1964M02,1.45
1964M03,1.45
1964M04,1.45
1964M05,1.45
1964M06,1.45
1964M07,1.45
1964M08,1.45
1964M09,1.45
1964M10,1.45
1964M11,1.45
1964M12,1.45
1965M01,1.42
1965M02,1.42
1965M03,1.42
1965M04,1.42
1965M05,1.42
1965M06,1.42
1965M07,1.42
1965M08,1.42
1965M09,1.42
1965M10,1.42
1965M11,1.42
1965M12,1.42
1966M01,1.36
1966M02,1.36
1966M03,1.36
1966M04,1.36
1966M05,1.36
1966M06,1.36
1966M07,1.36
1966M08,1.36
1966M09,1.36
1966M10,1.36
1966M11,1.36
1966M12,1.36
1967M01,1.33
1967M02,1.33
1967M03,1.33
1967M04,1.33
1967M05,1.33
1967M06,1.33
1967M07,1.33
1967M08,1.33
1967M09,1.33
1967M10,1.33
1967M11,1.33
1967M12,1.33
1968M01,1.32
1968M02,1.32
1968M03,1.32
1968M04,1.32
1968M05,1.32
1968M06,1.32
1968M07,1.32
1968M08,1.32
1968M09,1.32
1968M10,1.32
1968M11,1.32
1968M12,1.32
1969M01,1.27
1969M02,1.27
1969M03,1.27
1969M04,1.27
1969M05,1.27
1969M06,1.27
1969M07,1.27
1969M08,1.27
1969M09,1.27
1969M10,1.27
1969M11,1.27
1969M12,1.27
1970M01,1.21
1970M02,1.21
1970M03,1.21
1970M04,1.21
1970M05,1.21
1970M06,1.21
1970M07,1.21
1970M08,1.21
1970M09,1.21
1970M10,1.21
1970M11,1.21
1970M12,1.21
1971M01,1.64
1971M02,1.64
1971M03,1.64
1971M04,1.64
1971M05,1.64
1971M06,1.64
1971M07,1.74
1971M08,1.74
1971M09,1.74
1971M10,1.74
1971M11,1.74
1971M12,1.74
1972M01,1.77
1972M02,1.77
1972M03,1.77
1972M04,1.77
1972M05,1.77
1972M06,1.77
1972M07,1.87
1972M08,1.87
1972M09,1.87
1972M10,1.87
1972M11,1.87
1972M12,1.87
1973M01,2.08
1973M02,2.08
1973M03,2.08
1973M04,2.35
1973M05,2.35
1973M06,2.35
1973M07,2.7
1973M08,2.7
1973M09,2.7
1973M10,4.1
1973M11,4.1
1973M12,4.1
1974M01,13
1974M02,13
1974M03,13
1974M04,10.5999984741
1974M05,10.5999984741
1974M06,10.5999984741
1974M07,10
1974M08,10
1974M09,10
1974M10,10.2999992371
1974M11,10.2999992371
1974M12,10.2999992371
1975M01,10.4200000763
1975M02,10.4200000763
1975M03,10.4200000763
1975M04,10.4200000763
1975M05,10.4200000763
1975M06,10.4200000763
1975M07,10.4300003052
1975M08,10.4300003052
1975M09,10.4300003052
1975M10,10.4600000381
1975M11,10.4600000381
1975M12,10.4600000381
1976M01,11.5100002289
1976M02,11.5100002289
1976M03,11.5100002289
1976M04,11.5100002289
1976M05,11.5100002289
1976M06,11.5100002289
1976M07,11.6000003815
1976M08,11.6000003815
1976M09,11.6000003815
1976M10,11.8999996185
